"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IL1B",7396.5286876737,-1.5177574414002,0.0386768055766878,-39.2420578372434,0,0
"SLC30A1",1884.03492535518,-3.14620654712715,0.0814296342039046,-38.6371199856905,0,0
"GJB2",4561.31903378238,-2.67036305660793,0.0725984256884645,-36.7826579059308,3.49617887624362e-296,2.55279327613721e-292
"MAP1B",4995.78195927167,-2.52338146343297,0.0704706388472232,-35.8075576539548,8.42404252717768e-281,4.61321628894568e-277
"COL4A6",2741.16688995076,2.33643945899176,0.0669599283992271,34.8930997216945,9.46040914733034e-267,4.14460524744542e-263
"NNT",682.10075268742,3.37264915364776,0.0985302434263196,34.2295830839981,8.77982564077531e-257,3.20536801101972e-253
"EREG",22464.3851576073,-2.44789452321225,0.0781868850830284,-31.3082497226072,3.60331429007499e-215,1.12757999320132e-211
"PCDH10",556.489688536856,-5.03619653208388,0.165052746465642,-30.5126490768951,1.77088289337102e-204,4.84889872241153e-201
"HERPUD1",7002.1114772392,1.48663499263105,0.049119311627774,30.2657945187987,3.23343976494481e-201,7.86983311679068e-198
"UPP1",14039.7155694062,-2.46562234641275,0.0839529191741072,-29.3691079556075,1.36266286971232e-189,2.98491301610485e-186
"TNC",2623.63095390183,-2.67181945468241,0.0920162973599968,-29.0363721573083,2.28705503485616e-185,4.55435823077492e-182
"PLP2",9395.24728671509,1.47130959841182,0.0521502811147185,28.2128795274426,4.0644697810998e-175,7.4193508795826e-172
"HMGB3",5452.08396507167,1.83590582856033,0.0658629161835182,27.8746513963158,5.4149502872878e-171,9.12419123407994e-168
"TNFRSF10D",2290.01767542751,2.21330805490862,0.0813052239889778,27.2222121325029,3.54587137253786e-163,5.5480223153887e-160
"RPS6KA6",488.867126028366,3.86073349572527,0.142611195393538,27.071742054132,2.11901081608477e-161,3.09446212842246e-158
"SLFN11",1382.20421648309,2.20064928725277,0.0814680992750804,27.0124049392903,1.0567003791016e-160,1.44668886276378e-157
"TXNIP",5808.63680463636,-3.24112197722126,0.120402968791492,-26.918953990529,1.31783538147452e-159,1.69806964889408e-156
"RASIP1",311.686964712491,4.81825344075404,0.179847930600144,26.7907082648978,4.14617040323026e-158,5.04565903793105e-155
"SNHG8",2248.69021409261,-1.55310664278444,0.0590626642057019,-26.2959123783397,2.13567847139571e-152,2.46221246925911e-149
"ARRDC4",2007.37137493325,-2.20152367807428,0.0848266121275846,-25.953219430278,1.67234726996094e-148,1.83163834742472e-145
"FEN1",2423.43320161059,2.08517844305322,0.080407669188303,25.9325816069862,2.8588697372755e-148,2.98207340928666e-145
"HSPA8",50946.0277029988,2.36174673331158,0.0935353303244257,25.2497823562487,1.13881382250561e-140,1.13389621736297e-137
"LCP1",588.744637539524,2.39009143740604,0.0958748685848285,24.9292799321161,3.58307631939815e-137,3.41249072940941e-134
"CCN1",4546.05667139041,1.6997239373979,0.0693529183880952,24.5083260647567,1.20411734816172e-132,1.09900793797843e-129
"TENM3",841.159489971264,-1.91379047430563,0.07858354090628,-24.3535790349285,5.31265699539955e-131,4.65495005936909e-128
"UHRF1",3335.00233255678,1.41268543157524,0.0589456493320132,23.96589820596,6.30921709461622e-127,5.31551540221416e-124
"ATG4A",368.772686563934,2.95137291864732,0.127107807800919,23.219446308679,2.8969395980462e-119,2.35027636648897e-116
"ADAM19",716.05626656511,1.92316960690303,0.0836399566306323,22.9934314217314,5.4228911301975e-117,4.24244393596343e-114
"GADD45A",5221.43677522325,-1.29464600173866,0.0569105563558464,-22.7487848413146,1.47531060444747e-114,1.11436823415247e-111
"TMEM25",262.420373049655,3.43101298323767,0.152410090876362,22.511717980806,3.18679673609079e-112,2.32689275013563e-109
"GSTM3",315.7131754772,3.23785092207686,0.144006050258943,22.4841311615363,5.93509971788787e-112,4.19381804259141e-109
"SNHG1",2747.11398728366,-1.61381647724924,0.0720818859214176,-22.38865502227,5.07678205326378e-111,3.47521596489822e-108
"SERPINB1",4314.27337246513,-1.36693409821145,0.0611193429619907,-22.3649998832862,8.62838643514202e-111,5.72741832914503e-108
"TP63",17803.5925972505,-0.920406567144944,0.0412118151032852,-22.3335605296252,1.74459161795194e-110,1.12397880562463e-107
"SLFN5",5035.63075748689,-1.78637104608138,0.0805273632228017,-22.1834041819907,4.96745139750939e-109,3.10891493892695e-106
"RAB38",3205.29040731435,-1.19191508776402,0.0537368185621685,-22.180603907265,5.28645743456595e-109,3.21666250289353e-106
"AREG",24782.1310016955,-1.39770842214177,0.0631188628140182,-22.1440685054824,1.18995442115553e-108,7.04485178254374e-106
"BACE2",1669.59765100167,-1.24391593506045,0.0562897134914633,-22.0984591660623,3.27037507991504e-108,1.88519910856681e-105
"CARD11",434.128269664596,-6.26100146023587,0.2838472972015,-22.0576398717344,8.06841000585758e-108,4.53175695329001e-105
"ALOX5AP",256.333091755193,-3.22058099857566,0.147406151228889,-21.8483487407172,8.05946980143433e-106,4.41356715001048e-103
"CDC6",2737.76264511318,1.64827163278263,0.0756049470399532,21.8011082252542,2.26467135265489e-105,1.20994209707086e-102
"EZR",16111.77670101,0.993018288570382,0.046110527452443,21.535608969005,7.2238923500853e-103,3.7676038554433e-100
"NIBAN1",4215.17480322084,-1.40697070067411,0.065588857047239,-21.4513678697095,4.43419686292985e-102,2.25886237866229e-99
"TENM2",7413.21303360073,-1.31453285500951,0.0613616846025061,-21.4226982770259,8.20931219569489e-102,4.08693144651583e-99
"EMP2",3504.51773931588,1.23575505713303,0.0580117572170813,21.3018035724862,1.09233403028318e-100,5.31723931852288e-98
"ZC3H7B",9990.28922781113,1.30994979041434,0.0615523388539662,21.281884893476,1.67088521533818e-100,7.95668274825711e-98
"ZNF367",556.425452476203,2.16865915096354,0.102237663706471,21.2119396349849,7.40941821308945e-100,3.45326182888775e-97
"PAPPA2",411.717568790724,-2.80954098594011,0.133493145138977,-21.0463315027537,2.47079912470623e-98,1.12755947555604e-95
"TSC22D1",7919.05321654308,-1.14349315723803,0.0548316953280223,-20.8546015292297,1.38446564462425e-96,6.18912651948863e-94
"CXCL2",653.158934257394,-2.52281779424474,0.12147770962378,-20.7677425106052,8.47488302772811e-96,3.71284625444768e-93
"ARRDC3",2701.03450151453,-1.79699857637607,0.0870666882255871,-20.6393353531502,1.21724833069512e-94,5.22820091840717e-92
"LMCD1",1003.88034264331,1.47134639354,0.0714411972154855,20.595209079462,3.02976950589511e-94,1.27629040435832e-91
"DKK1",1384.73487462434,2.12115287417696,0.103479359541399,20.4983185398279,2.22861880938376e-93,9.21092358859456e-91
"PCNA",7516.64676843521,1.47610113040702,0.0721119407937708,20.4695798526411,4.02071686244698e-93,1.63099634947965e-90
"AC018629.1",677.433816122666,1.77661452686452,0.0873929789488377,20.3290304122097,7.11954099089279e-92,2.83551900737285e-89
"APLN",692.07799315426,2.21381767768203,0.109265192640496,20.2609598187954,2.84365015491692e-91,1.11232422577598e-88
"EIF4EBP2",5333.24692116246,0.897581690880105,0.0443773407793169,20.2261261066469,5.76588512589178e-91,2.21581953829227e-88
"CREB5",903.553165780471,-1.93218859051293,0.0957666679240699,-20.1760031167097,1.59102829604363e-90,6.00887496979925e-88
"ZC3HAV1",2776.22532689736,1.29147375175595,0.0640811454134554,20.1537245226077,2.49608824501567e-90,9.26725644187596e-88
