"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IL1B",7396.5286876737,-2.30741614420885,0.040235796230459,-57.3473464025078,0,0
"MAP1B",4995.78195927167,-3.13627667588791,0.0721642102652603,-43.4602785003761,0,0
"COL4A6",2741.16688995076,2.44847708577895,0.0668529452706193,36.6248199816413,1.15194438093635e-293,8.17726917880685e-290
"EREG",22464.3851576073,-2.70792429417203,0.0782779514180059,-34.5937041672393,3.14185511276168e-262,1.67272366203432e-258
"TENM3",841.159489971264,-3.35200674053941,0.0975216445444489,-34.3719259062702,6.62610868965866e-259,2.82219221309942e-255
"AREG",24782.1310016955,-2.12870686605456,0.0633415748271344,-33.6067878303313,1.33511970338887e-247,4.73878486722823e-244
"NNT",682.10075268742,3.17869136770581,0.0988841925912125,32.1455966258078,1.01766172121374e-226,3.09601771642397e-223
"PCDH10",556.489688536856,-4.20269184448524,0.134010008650152,-31.3610295739689,6.88207735929952e-216,1.83200899304553e-212
"GJB2",4561.31903378238,-2.2225205250407,0.0717066506150323,-30.9946219210911,6.36947661155924e-211,1.50715971021962e-207
"SLC30A1",1884.03492535518,-2.3523650548047,0.0780055360610782,-30.1563859898713,8.8456511501116e-200,1.88376986892777e-196
"PHLDA1",34189.99902049,-1.71804300328045,0.0578773954907775,-29.6841796129926,1.22890808358811e-193,2.37916604982658e-190
"TNC",2623.63095390183,-2.61664305299174,0.0917843923704988,-28.508583926005,9.16901333257937e-179,1.62719423275508e-175
"UPP1",14039.7155694062,-2.373859938693,0.0838972073021335,-28.29486242783,3.99738210486044e-176,6.54832686962368e-173
"RPS6KA6",488.867126028366,3.87206608574896,0.142550343469279,27.1627973073488,1.78785370816895e-162,2.71958089779757e-159
"LIF",963.130367478327,-3.67224784827646,0.135829934672062,-27.0356299378519,5.63640497810798e-161,8.00219202758583e-158
"HBEGF",7266.81058444435,-2.50674336450123,0.0935070847873883,-26.808058129509,2.60276368466868e-158,3.46427846429401e-155
"KCNMA1",2059.75344835833,-1.36214689676075,0.0512966454320918,-26.5543075046496,2.29026922797729e-155,2.86903373405908e-152
"CXCL2",653.158934257394,-3.66998405489595,0.1391363628766,-26.3768865235529,2.52372562226486e-153,2.98584782509736e-150
"CARD11",434.128269664596,-4.93149273058911,0.19232425681418,-25.6415535527265,5.25239106803397e-145,5.8871010623606e-142
"HMGB3",5452.08396507167,1.6759277385558,0.0659311497871573,25.4193616214205,1.54074548435266e-142,1.64058579173871e-139
"SERPINB1",4314.27337246513,-1.55354155806193,0.0613613893686669,-25.3179006219703,2.02910557772274e-141,2.05770630396111e-138
"PLP2",9395.24728671509,1.31286600076607,0.0521975176022224,25.1518857806788,1.34763337778517e-139,1.30450910969605e-136
"SNHG8",2248.69021409261,-1.475833074589,0.0587895740949295,-25.1036531104295,4.5368951167644e-139,4.20077036550498e-136
"MYOSLID",10037.0242136631,-1.02643010487249,0.0410263771509267,-25.0187848928625,3.81879343219876e-138,3.38854270550437e-135
