,#Contains_Novel_or_Only_Known(Annotated)_Junctions,as_event_type,gene_name,exclusion_junctions,inclusion_junctions,exclusion_exons,inclusion_exons,intron-exon_junctions,neighboring_constitutive_exons,delta_val,corrected_pval,GeneName
173,K,alternative_last_exon,"ENSG00000115419.13,ENSG00000115602.17",chr2:190931638-190940176;chr2:190931638-190953564,chr2:190931638-190932656,chr2:190953565-190953626,chr2:190932657-190933105,,,-22.74,0.030817,GLS
200,K,alternative_last_exon,"ENSG00000052841.15,ENSG00000110075.14",chr11:43444210-43448001,chr11:43444210-43445930,chr11:43448002-43448122,chr11:43445931-43446719,,,-15.28,0.15346,TTC17
406,N,alternative_last_exon,"ENSG00000204387.14,ENSG00000285565.1","chr6:31835452-31836412,chr6:31835452-31836426,chr6:31835452-31837250,chr6:31835452-31837278,chr6:31835452-31837334,chr6:31835452-31837339,chr6:31835452-31837390;chr6:31835452-31837235;chr6:31835452-31839542","chr6:31835452-31836423,chr6:31835452-31836298,chr6:31835452-31836294",chr6:31837236-31837435;chr6:31839543-31839766,chr6:31836424-31836517,,,-17.02,0.05579,
489,N,alternative_last_exon,,"chr11:12001605-12002299,chr11:12001565-12002299,chr11:12001557-12002299,chr11:12001783-12002299,chr11:12001773-12002299;chr11:12002203-12002299;chr11:12001876-12002299",chr11:11998780-12002299,chr11:12001904-12002202;chr11:12001675-12001875,chr11:11998200-11998779,,,-22,0.008111,DKK3
570,K,alternative_last_exon,"ENSG00000160336.15,ENSG00000286261.1","chr19:53449639-53451773,chr19:53449639-53452781;chr19:53449639-53454649;chr19:53449639-53460914","chr19:53449639-53449882,chr19:53449639-53449878",chr19:53454650-53458261;chr19:53460915-53461862,chr19:53449883-53450331,,,-11.25,0.200632,ZNF761
632,N,alternative_last_exon,,"chr1:155312280-155312513,chr1:155312280-155316109,chr1:155312280-155317848,chr1:155312280-155317919,chr1:155312280-155317947,chr1:155312280-155317965,chr1:155312280-155318003,chr1:155312280-155318213,chr1:155312280-155318291,chr1:155312280-155318911;chr1:155312280-155318664;chr1:155312280-155318855",chr1:155312280-155317940,chr1:155318665-155318814;chr1:155318856-155318928,chr1:155317941-155318021,,,-20.43,0.123977,FDPS
694,K,alternative_last_exon,"ENSG00000084710.14,ENSG00000085978.22",chr2:233273053-233273368;chr2:233273053-233274675,chr2:233273053-233273720,chr2:233274676-233274778,chr2:233273721-233273777,,,-23.7,0.041917,ATG16L1
853,K,alternative_last_exon,"ENSG00000068796.17,ENSG00000164291.17",chr5:95555405-95556342;chr5:95555405-95565997,chr5:95555405-95556207,chr5:95565998-95566127,chr5:95556208-95557057,,,-13.75,0.172878,ARSK
1003,K,alternative_last_exon,"ENSG00000117054.13,ENSG00000137955.16",chr1:75786275-75787496,chr1:75786275-75786699,chr1:75787497-75790517,chr1:75786700-75786865,,,-11.5,0.069914,RABGGTB
1177,N,alternative_last_exon,"ENSG00000103326.12,ENSG00000167264.18","chr16:536143-536636,chr16:536143-539432,chr16:536143-540092,chr16:536143-546399,chr16:536143-546429,chr16:536143-546898;chr16:536143-547558,chr16:536143-546816",chr16:536143-537133,chr16:547559-548209,chr16:537134-539858,,,18.34,0.202509,CAPN15
1242,K,alternative_last_exon,"ENSG00000071462.11,ENSG00000135164.18",chr7:87194103-87195030,chr7:87194103-87194683,chr7:87195031-87196337,chr7:87194684-87194892,,,-20.48,0.041917,DMTF1
1437,K,alternative_last_exon,"ENSG00000214274.9,ENSG00000258818.4","chr14:20684759-20693030,chr14:20684759-20697849;chr14:20684759-20698865;chr14:20684759-20699354",chr14:20684759-20693546,chr14:20698866-20698971;chr14:20699355-20701216,chr14:20693547-20694186,,,12.42,0.098741,RNASE4
1622,N,alternative_last_exon,"ENSG00000100084.14,ENSG00000242259.8","chr22:19405532-19405785,chr22:19399193-19405785;chr22:19396948-19405785",chr22:19398088-19405785,chr22:19396787-19396947,chr22:19397992-19398087,,,19.06,0.056236,HIRA
1736,K,alternative_last_exon,"ENSG00000152926.15,ENSG00000213462.5","chr7:65006448-65006540,chr7:64993409-65006540;chr7:65005195-65006540;chr7:64982117-65006540;chr7:65006323-65006540",chr7:64993415-65006540,chr7:65003669-65005194;chr7:64981984-64982116;chr7:65006084-65006322,chr7:64990356-64993414,,,17.73,0.171233,ERV3-1
1910,K,alternative_last_exon,"ENSG00000106346.11,ENSG00000204946.10",chr7:149278528-149287564,chr7:149278528-149281504,chr7:149287565-149287776,chr7:149281505-149284988,,,19.03,0.039467,ZNF783
2242,N,alternative_last_exon,"ENSG00000101187.16,ENSG00000213742.7","chr20:25674008-25688007,chr20:25674008-25688674,chr20:25674008-25688699;chr20:25674008-25674896;chr20:25674008-25676935",chr20:25674008-25688702,chr20:25674897-25675078;chr20:25676936-25677548,chr20:25688703-25689032,,,13.93,0.123823,ZNF337
2504,N,alternative_last_exon,,"chr19:39354067-39354895,chr19:39354067-39354899,chr19:39354067-39355054,chr19:39354067-39355057,chr19:39354067-39355816,chr19:39354067-39356565;chr19:39354067-39369654",chr19:39354067-39356688,chr19:39369655-39370125,chr19:39356689-39357089,,,11.35,0.056666,SAMD4B
2801,N,alternative_last_exon,,chr10:27181067-27181627;chr10:27181067-27186378,chr10:27181067-27181479,chr10:27186379-27186924,chr10:27181480-27181581,,,-12.33,0.142691,MASTL
2911,N,alternative_last_exon,,"chr12:65606230-65610654,chr12:65606230-65610678,chr12:65606230-65610816,chr12:65606230-65622171;chr12:65606230-65828000",chr12:65606230-65612691,chr12:65828001-65829013,chr12:65612692-65613000,,,17.36,0.120515,
3001,K,alternative_last_exon,"ENSG00000125695.12,ENSG00000266173.7",chr17:63714064-63728333;chr17:63714109-63728333,chr17:63726696-63728333,chr17:63714006-63714108,chr17:63726638-63726695,,,-31.85,0.10384,STRADA
